,Where they Clicked,Whey they Clicked,Help Source,Successfully Helped,Mentor Requested,Mentor Responded,Mentor
484,Marketing,Registration Help,Help Link,1,1,0,Not Requested
485,Orders,Registration Help,Mentor,1,1,1,Natanael
486,Analytics,Registration Help,Help Link,0,1,1,Natanael
487,Apps,Accessing Data,Mentor,0,0,0,Not Requested
488,Products,Registration Help,Help Link,1,0,0,Not Requested
489,Home,Accessing Data,Help Link,1,1,0,Not Requested
490,Customers,other,Mentor,0,0,0,Not Requested
491,Orders,other,Help Link,1,0,0,Not Requested
492,Orders,other,Community Hub,0,0,0,Not Requested
493,Analytics,Registration Help,Help Link,1,1,0,Not Requested
494,Analytics,Registration Help,Help Link,1,0,0,Not Requested
495,Analytics,App Functionality,Mentor,1,0,0,Not Requested
496,Home,other,Community Hub,0,0,0,Not Requested
497,Discounts,Adding Promo Code,Help Link,1,0,0,Not Requested
498,Customers,Accessing Data,Community Hub,1,0,0,Not Requested
499,Marketing,Registration Help,Help Link,1,0,0,Not Requested
500,Orders,Accessing Data,Help Link,1,0,0,Not Requested
501,Orders,other,Mentor,1,1,1,Maya
502,Apps,Registration Help,Community Hub,0,0,0,Not Requested
503,Finances,Accessing Data,Mentor,1,0,0,Not Requested
504,Finances,other,Mentor,1,1,0,Not Requested
505,Orders,Accessing Data,Mentor,1,1,1,Ben
506,Analytics,Registration Help,Community Hub,0,1,0,Not Requested
507,Apps,Registration Help,Help Link,0,1,0,Not Requested
508,Products,other,Help Link,0,1,1,Fahd
509,Apps,Registration Help,Mentor,0,1,0,Not Requested
510,Orders,App Functionality,Help Link,1,1,1,Fahd
511,Customers,other,Help Link,1,1,0,Not Requested
512,Orders,Accessing Data,Help Link,1,1,0,Not Requested
513,Apps,other,Community Hub,0,1,1,Ben
514,Apps,Registration Help,Mentor,0,0,0,Not Requested
515,Orders,Registration Help,Community Hub,1,1,1,Ben
516,Apps,Registration Help,Help Link,0,0,0,Not Requested
517,Orders,other,Community Hub,0,1,0,Not Requested
518,Customers,Registration Help,Community Hub,0,1,1,Ben
519,Apps,other,Help Link,1,0,0,Not Requested
520,Orders,App Functionality,Community Hub,0,0,0,Not Requested
521,Apps,other,Mentor,0,0,0,Not Requested
522,Apps,Adding Promo Code,Help Link,1,1,0,Not Requested
523,Products,App Functionality,Help Link,0,0,0,Not Requested
524,Home,other,Community Hub,1,1,1,Yik
525,Analytics,Accessing Data,Community Hub,1,1,0,Not Requested
526,Products,other,Help Link,1,1,0,Not Requested
527,Apps,Registration Help,Mentor,0,1,0,Not Requested
528,Apps,Adding Promo Code,Community Hub,1,0,0,Not Requested
529,Marketing,Adding Promo Code,Mentor,1,1,1,Chantal
530,Customers,Registration Help,Help Link,1,1,1,Chantal
531,Finances,Accessing Data,Help Link,0,0,0,Not Requested
532,Products,Adding Promo Code,Community Hub,0,1,0,Not Requested
533,Analytics,other,Mentor,0,0,0,Not Requested
534,Analytics,other,Help Link,0,1,1,Fahd
535,Customers,Accessing Data,Community Hub,1,0,0,Not Requested
536,Orders,Registration Help,Mentor,1,0,0,Not Requested
537,Orders,other,Mentor,0,1,1,Natanael
538,Finances,other,Mentor,0,1,0,Not Requested
539,Analytics,Accessing Data,Help Link,0,0,0,Not Requested
540,Apps,Registration Help,Mentor,1,0,0,Not Requested
541,Finances,other,Mentor,0,0,0,Not Requested
542,Marketing,other,Mentor,1,0,0,Not Requested
543,Marketing,other,Help Link,0,0,0,Not Requested
544,Finances,Adding Promo Code,Help Link,1,0,0,Not Requested
545,Finances,Registration Help,Help Link,0,1,0,Not Requested
546,Finances,Accessing Data,Mentor,1,1,0,Not Requested
547,Finances,Registration Help,Mentor,1,1,1,Fahd
548,Analytics,other,Community Hub,1,0,0,Not Requested
549,Apps,Accessing Data,Mentor,0,1,1,Fahd
550,Marketing,App Functionality,Mentor,1,0,0,Not Requested
551,Analytics,Accessing Data,Help Link,1,0,0,Not Requested
552,Home,Registration Help,Mentor,1,0,0,Not Requested
553,Orders,Adding Promo Code,Community Hub,1,0,0,Not Requested
554,Apps,App Functionality,Mentor,1,0,0,Not Requested
555,Customers,Accessing Data,Mentor,0,1,0,Not Requested
556,Analytics,other,Mentor,1,1,0,Not Requested
557,Apps,Accessing Data,Help Link,1,0,0,Not Requested
558,Apps,Registration Help,Mentor,1,1,0,Not Requested
559,Analytics,Registration Help,Mentor,1,1,1,Natanael
560,Marketing,Registration Help,Help Link,1,1,0,Not Requested
561,Marketing,Registration Help,Mentor,1,1,0,Not Requested
562,Analytics,other,Help Link,1,0,0,Not Requested
563,Orders,App Functionality,Community Hub,1,1,0,Not Requested
564,Customers,App Functionality,Community Hub,1,1,1,Chantal
565,Orders,other,Help Link,1,1,1,Yik
566,Orders,Registration Help,Mentor,1,1,1,Fahd
567,Analytics,Adding Promo Code,Help Link,1,1,0,Not Requested
568,Finances,Registration Help,Community Hub,0,1,1,Fahd
569,Marketing,other,Community Hub,0,0,0,Not Requested
570,Apps,other,Help Link,0,1,0,Not Requested
571,Home,Registration Help,Help Link,1,1,1,Shaneel
572,Marketing,other,Community Hub,0,0,0,Not Requested
573,Marketing,Accessing Data,Help Link,1,0,0,Not Requested
574,Apps,Accessing Data,Community Hub,0,0,0,Not Requested
575,Home,other,Help Link,0,0,0,Not Requested
576,Apps,Registration Help,Mentor,1,0,0,Not Requested
577,Apps,Registration Help,Mentor,1,1,0,Not Requested
578,Orders,Accessing Data,Mentor,1,1,1,Shaneel
579,Analytics,other,Help Link,1,0,0,Not Requested
580,Apps,Registration Help,Help Link,1,1,0,Not Requested
581,Orders,Registration Help,Mentor,1,0,0,Not Requested
582,Marketing,Registration Help,Community Hub,1,1,1,Chantal
583,Apps,Registration Help,Help Link,1,0,0,Not Requested
584,Orders,Accessing Data,Mentor,0,1,0,Not Requested
585,Orders,other,Help Link,1,1,0,Not Requested
586,Customers,Registration Help,Community Hub,1,0,0,Not Requested
587,Orders,Adding Promo Code,Community Hub,1,1,1,Fahd
588,Analytics,Registration Help,Help Link,1,1,0,Not Requested
589,Apps,Accessing Data,Community Hub,0,1,0,Not Requested
590,Home,Accessing Data,Community Hub,0,1,0,Not Requested
591,Apps,Registration Help,Mentor,1,1,1,Ben
592,Apps,Accessing Data,Community Hub,0,1,0,Not Requested
593,Orders,App Functionality,Community Hub,0,1,0,Not Requested
594,Customers,Adding Promo Code,Mentor,0,1,1,Maya
595,Analytics,Registration Help,Community Hub,1,0,0,Not Requested
596,Discounts,App Functionality,Community Hub,1,1,1,Ben
597,Orders,Registration Help,Community Hub,1,0,0,Not Requested
598,Apps,App Functionality,Community Hub,0,0,0,Not Requested
599,Customers,Accessing Data,Help Link,1,0,0,Not Requested
600,Apps,other,Mentor,1,1,0,Not Requested
601,Home,App Functionality,Community Hub,1,1,0,Not Requested
602,Apps,Accessing Data,Community Hub,1,0,0,Not Requested
603,Apps,other,Community Hub,0,1,0,Not Requested
604,Apps,other,Mentor,1,1,0,Not Requested
605,Orders,other,Community Hub,1,1,0,Not Requested
606,Home,Registration Help,Mentor,1,0,0,Not Requested
607,Customers,other,Help Link,1,1,1,Maya
608,Home,Registration Help,Mentor,1,1,0,Not Requested
609,Orders,Registration Help,Mentor,1,1,1,Ben
610,Marketing,Adding Promo Code,Help Link,1,1,0,Not Requested
611,Orders,other,Help Link,1,0,0,Not Requested
612,Orders,Registration Help,Community Hub,0,1,1,Shaneel
613,Marketing,Accessing Data,Community Hub,1,0,0,Not Requested
614,Orders,Accessing Data,Community Hub,1,1,1,Ben
615,Analytics,Accessing Data,Help Link,1,1,0,Not Requested
616,Marketing,Registration Help,Community Hub,0,0,0,Not Requested
617,Home,Registration Help,Help Link,0,0,0,Not Requested
618,Orders,Accessing Data,Mentor,1,1,1,Fahd
619,Finances,other,Community Hub,0,0,0,Not Requested
620,Apps,Registration Help,Community Hub,0,0,0,Not Requested
621,Apps,Registration Help,Help Link,1,1,1,Yik
622,Orders,Registration Help,Mentor,1,1,0,Not Requested
623,Marketing,Registration Help,Mentor,1,1,1,Natanael
624,Apps,Registration Help,Community Hub,1,1,0,Not Requested
625,Apps,Registration Help,Help Link,0,1,1,Shaneel
626,Customers,Registration Help,Community Hub,1,0,0,Not Requested
627,Marketing,App Functionality,Help Link,0,1,1,Fahd
628,Finances,Registration Help,Help Link,1,0,0,Not Requested
629,Marketing,App Functionality,Mentor,1,1,1,Chantal
630,Marketing,App Functionality,Community Hub,0,1,0,Not Requested
631,Orders,Registration Help,Help Link,0,0,0,Not Requested
632,Finances,other,Mentor,1,1,1,Fahd
633,Finances,Accessing Data,Mentor,1,0,0,Not Requested
634,Marketing,Registration Help,Community Hub,0,0,0,Not Requested
635,Home,Adding Promo Code,Mentor,0,1,0,Not Requested
636,Apps,Accessing Data,Help Link,1,1,1,Chantal
637,Apps,Accessing Data,Community Hub,1,0,0,Not Requested
638,Analytics,other,Help Link,1,1,1,Maya
639,Apps,App Functionality,Help Link,0,0,0,Not Requested
640,Products,Accessing Data,Community Hub,0,1,1,Maya
641,Orders,Registration Help,Community Hub,1,0,0,Not Requested
642,Apps,Registration Help,Community Hub,0,1,0,Not Requested
643,Customers,Accessing Data,Community Hub,1,0,0,Not Requested
644,Apps,Adding Promo Code,Mentor,1,0,0,Not Requested
645,Orders,Registration Help,Community Hub,0,1,1,Chantal
646,Analytics,Registration Help,Community Hub,0,0,0,Not Requested
647,Apps,Registration Help,Help Link,0,0,0,Not Requested
648,Orders,Accessing Data,Mentor,1,0,0,Not Requested
649,Apps,Accessing Data,Help Link,0,1,1,Maya
650,Apps,other,Help Link,0,0,0,Not Requested
651,Marketing,Registration Help,Community Hub,0,1,0,Not Requested
652,Customers,Accessing Data,Community Hub,1,1,1,Chantal
653,Finances,other,Community Hub,1,0,0,Not Requested
654,Finances,Registration Help,Help Link,0,0,0,Not Requested
655,Analytics,Registration Help,Mentor,1,1,1,Shaneel
656,Home,Adding Promo Code,Community Hub,0,0,0,Not Requested
657,Apps,Accessing Data,Community Hub,0,1,0,Not Requested
658,Analytics,Registration Help,Community Hub,0,1,0,Not Requested
659,Products,other,Community Hub,0,1,0,Not Requested
660,Customers,App Functionality,Community Hub,1,0,0,Not Requested
661,Orders,Accessing Data,Community Hub,0,1,1,Natanael
662,Apps,Registration Help,Community Hub,1,1,1,Yik
663,Apps,Registration Help,Mentor,0,1,1,Yik
664,Apps,Registration Help,Help Link,1,0,0,Not Requested
665,Orders,Accessing Data,Community Hub,0,0,0,Not Requested
666,Analytics,Registration Help,Mentor,0,0,0,Not Requested
667,Marketing,Adding Promo Code,Mentor,1,0,0,Not Requested
668,Customers,Adding Promo Code,Community Hub,1,1,0,Not Requested
669,Home,Adding Promo Code,Help Link,1,0,0,Not Requested
670,Products,Registration Help,Help Link,0,0,0,Not Requested
671,Orders,Accessing Data,Mentor,1,1,1,Fahd
672,Home,Accessing Data,Mentor,0,1,1,Ben
673,Customers,Registration Help,Community Hub,1,1,1,Maya
674,Orders,Registration Help,Help Link,1,0,0,Not Requested
675,Orders,other,Help Link,0,1,1,Fahd
676,Orders,Registration Help,Mentor,0,1,0,Not Requested
677,Finances,Registration Help,Community Hub,1,1,0,Not Requested
678,Finances,Adding Promo Code,Help Link,0,1,0,Not Requested
679,Products,Registration Help,Mentor,1,1,1,Natanael
680,Analytics,other,Community Hub,1,0,0,Not Requested
681,Orders,Accessing Data,Mentor,1,1,1,Maya
682,Apps,App Functionality,Mentor,0,0,0,Not Requested
683,Home,App Functionality,Community Hub,0,0,0,Not Requested
684,Marketing,Accessing Data,Help Link,0,1,1,Ben
685,Marketing,Accessing Data,Mentor,1,0,0,Not Requested
686,Orders,Accessing Data,Help Link,1,1,1,Shaneel
687,Home,Registration Help,Community Hub,1,1,1,Natanael
688,Marketing,Registration Help,Help Link,1,1,1,Chantal
689,Products,Adding Promo Code,Community Hub,1,1,1,Ben
690,Marketing,Registration Help,Community Hub,0,1,0,Not Requested
691,Apps,Accessing Data,Mentor,1,1,1,Shaneel
692,Analytics,other,Community Hub,1,1,1,Maya
693,Analytics,Accessing Data,Community Hub,1,1,1,Fahd
694,Marketing,other,Community Hub,0,1,0,Not Requested
695,Apps,other,Mentor,1,1,0,Not Requested
696,Analytics,Registration Help,Help Link,1,0,0,Not Requested
697,Apps,Registration Help,Mentor,0,0,0,Not Requested
698,Analytics,Accessing Data,Community Hub,0,1,1,Shaneel
699,Apps,Accessing Data,Mentor,0,1,1,Shaneel
700,Customers,Accessing Data,Community Hub,1,1,1,Ben
701,Analytics,Registration Help,Mentor,1,0,0,Not Requested
702,Orders,Registration Help,Community Hub,0,0,0,Not Requested
703,Analytics,other,Mentor,1,0,0,Not Requested
704,Finances,Accessing Data,Mentor,0,0,0,Not Requested
705,Finances,Accessing Data,Mentor,1,1,0,Not Requested
706,Apps,Adding Promo Code,Help Link,1,1,0,Not Requested
707,Marketing,Accessing Data,Mentor,1,1,0,Not Requested
708,Marketing,Registration Help,Help Link,0,1,0,Not Requested
709,Marketing,Adding Promo Code,Mentor,0,1,1,Ben
710,Products,other,Help Link,0,0,0,Not Requested
711,Apps,Registration Help,Community Hub,0,1,0,Not Requested
712,Apps,other,Community Hub,1,0,0,Not Requested
713,Apps,Accessing Data,Help Link,1,1,1,Natanael
714,Analytics,Adding Promo Code,Community Hub,1,1,0,Not Requested
715,Apps,Adding Promo Code,Community Hub,0,0,0,Not Requested
716,Apps,App Functionality,Mentor,0,0,0,Not Requested
717,Orders,App Functionality,Help Link,1,0,0,Not Requested
718,Apps,other,Mentor,1,0,0,Not Requested
719,Analytics,other,Community Hub,1,1,1,Maya
720,Home,other,Mentor,0,0,0,Not Requested
721,Analytics,Adding Promo Code,Mentor,0,0,0,Not Requested
722,Apps,Accessing Data,Help Link,0,1,0,Not Requested
723,Apps,Registration Help,Mentor,1,1,1,Natanael
724,Apps,Registration Help,Help Link,1,0,0,Not Requested
725,Orders,Registration Help,Community Hub,0,1,1,Chantal
726,Apps,Registration Help,Community Hub,1,0,0,Not Requested
727,Apps,other,Mentor,0,1,1,Yik
728,Apps,App Functionality,Help Link,1,0,0,Not Requested
729,Orders,Accessing Data,Help Link,1,0,0,Not Requested
730,Analytics,Registration Help,Help Link,0,0,0,Not Requested
731,Orders,Registration Help,Community Hub,1,0,0,Not Requested
732,Analytics,Registration Help,Mentor,0,0,0,Not Requested
733,Apps,other,Community Hub,1,0,0,Not Requested
734,Apps,Registration Help,Mentor,0,1,1,Shaneel
735,Apps,Registration Help,Community Hub,0,0,0,Not Requested
736,Apps,App Functionality,Help Link,1,1,0,Not Requested
737,Apps,Adding Promo Code,Mentor,0,1,0,Not Requested
738,Apps,Accessing Data,Community Hub,1,0,0,Not Requested
739,Apps,Registration Help,Help Link,0,0,0,Not Requested
740,Orders,Adding Promo Code,Help Link,0,1,1,Natanael
741,Analytics,Registration Help,Community Hub,1,0,0,Not Requested
742,Analytics,Adding Promo Code,Mentor,1,1,1,Natanael
743,Home,other,Mentor,0,0,0,Not Requested
744,Analytics,other,Help Link,0,1,0,Not Requested
745,Orders,Registration Help,Mentor,1,0,0,Not Requested
746,Orders,Adding Promo Code,Community Hub,0,1,1,Maya
747,Home,Accessing Data,Help Link,0,0,0,Not Requested
748,Customers,Registration Help,Community Hub,1,1,0,Not Requested
749,Analytics,Accessing Data,Help Link,0,1,0,Not Requested
750,Apps,Adding Promo Code,Help Link,1,0,0,Not Requested
751,Orders,Accessing Data,Help Link,1,0,0,Not Requested
752,Apps,other,Help Link,1,1,0,Not Requested
753,Marketing,other,Community Hub,1,0,0,Not Requested
754,Apps,Registration Help,Help Link,0,0,0,Not Requested
755,Marketing,Accessing Data,Mentor,1,1,0,Not Requested
756,Apps,other,Mentor,1,1,1,Fahd
757,Analytics,Registration Help,Mentor,1,0,0,Not Requested
758,Apps,other,Help Link,1,0,0,Not Requested
759,Home,Registration Help,Community Hub,1,1,1,Yik
760,Apps,Accessing Data,Mentor,1,1,0,Not Requested
761,Analytics,Registration Help,Community Hub,0,0,0,Not Requested
762,Analytics,other,Mentor,1,1,1,Chantal
763,Marketing,Registration Help,Community Hub,1,0,0,Not Requested
764,Orders,Registration Help,Help Link,1,0,0,Not Requested
765,Analytics,App Functionality,Help Link,0,0,0,Not Requested
766,Orders,Accessing Data,Mentor,1,0,0,Not Requested
767,Finances,Accessing Data,Community Hub,1,1,1,Shaneel
768,Home,Registration Help,Community Hub,0,1,1,Fahd
769,Customers,Registration Help,Help Link,1,0,0,Not Requested
770,Products,Registration Help,Help Link,1,1,0,Not Requested
771,Apps,Registration Help,Help Link,1,1,0,Not Requested
772,Products,Accessing Data,Help Link,0,0,0,Not Requested
773,Apps,Registration Help,Help Link,0,1,0,Not Requested
774,Marketing,Accessing Data,Help Link,0,1,1,Yik
775,Analytics,other,Community Hub,0,1,1,Yik
776,Finances,Accessing Data,Mentor,1,0,0,Not Requested
777,Orders,Registration Help,Help Link,1,0,0,Not Requested
778,Apps,other,Community Hub,1,1,1,Chantal
779,Apps,Adding Promo Code,Mentor,1,1,0,Not Requested
780,Orders,other,Mentor,1,0,0,Not Requested
781,Orders,other,Community Hub,1,0,0,Not Requested
782,Customers,other,Community Hub,1,1,1,Natanael
783,Apps,Registration Help,Help Link,1,1,1,Natanael
784,Orders,Accessing Data,Mentor,1,0,0,Not Requested
785,Orders,other,Community Hub,1,1,0,Not Requested
786,Home,Adding Promo Code,Community Hub,0,1,1,Natanael
787,Orders,other,Community Hub,1,1,0,Not Requested
788,Home,Registration Help,Mentor,1,1,0,Not Requested
789,Apps,Registration Help,Mentor,1,0,0,Not Requested
790,Orders,other,Community Hub,1,0,0,Not Requested
791,Orders,Registration Help,Community Hub,1,0,0,Not Requested
792,Apps,Accessing Data,Community Hub,1,0,0,Not Requested
793,Marketing,Adding Promo Code,Help Link,1,1,0,Not Requested
794,Orders,Registration Help,Community Hub,1,1,0,Not Requested
795,Apps,Accessing Data,Mentor,1,0,0,Not Requested
796,Home,other,Community Hub,1,1,1,Yik
797,Home,Registration Help,Community Hub,0,1,0,Not Requested
798,Discounts,Registration Help,Community Hub,0,1,1,Maya
799,Apps,App Functionality,Mentor,0,1,0,Not Requested
800,Analytics,App Functionality,Help Link,1,0,0,Not Requested
801,Marketing,App Functionality,Mentor,1,1,1,Ben
802,Finances,Registration Help,Community Hub,1,0,0,Not Requested
803,Customers,Registration Help,Help Link,0,1,0,Not Requested
804,Apps,Registration Help,Help Link,0,0,0,Not Requested
805,Apps,Registration Help,Help Link,1,0,0,Not Requested
806,Marketing,Accessing Data,Mentor,0,1,0,Not Requested
807,Apps,Registration Help,Community Hub,0,1,0,Not Requested
808,Customers,other,Help Link,1,0,0,Not Requested
809,Analytics,other,Help Link,1,1,1,Ben
810,Apps,Adding Promo Code,Community Hub,1,0,0,Not Requested
811,Orders,Accessing Data,Community Hub,1,1,0,Not Requested
812,Orders,Accessing Data,Help Link,0,1,1,Maya
813,Apps,Accessing Data,Community Hub,0,1,0,Not Requested
814,Analytics,Registration Help,Help Link,1,0,0,Not Requested
815,Apps,Accessing Data,Mentor,0,1,1,Chantal
816,Marketing,Accessing Data,Help Link,1,1,0,Not Requested
817,Orders,App Functionality,Community Hub,1,0,0,Not Requested
818,Orders,other,Help Link,1,0,0,Not Requested
819,Orders,other,Mentor,1,0,0,Not Requested
820,Finances,Accessing Data,Community Hub,0,0,0,Not Requested
821,Home,Accessing Data,Community Hub,0,1,1,Yik
822,Marketing,App Functionality,Community Hub,1,0,0,Not Requested
823,Apps,Accessing Data,Community Hub,1,0,0,Not Requested
824,Home,App Functionality,Community Hub,0,0,0,Not Requested
825,Orders,other,Community Hub,1,0,0,Not Requested
826,Home,App Functionality,Help Link,1,1,1,Shaneel
827,Analytics,App Functionality,Mentor,0,1,0,Not Requested
828,Apps,Accessing Data,Mentor,0,1,0,Not Requested
829,Apps,Adding Promo Code,Help Link,0,1,0,Not Requested
830,Products,App Functionality,Mentor,0,0,0,Not Requested
831,Finances,Adding Promo Code,Community Hub,1,1,1,Maya
832,Home,App Functionality,Help Link,1,1,1,Natanael
833,Apps,Registration Help,Community Hub,1,1,0,Not Requested
834,Analytics,Registration Help,Community Hub,1,0,0,Not Requested
835,Apps,Adding Promo Code,Community Hub,0,0,0,Not Requested
836,Finances,Registration Help,Help Link,0,1,0,Not Requested
837,Analytics,Accessing Data,Mentor,1,1,0,Not Requested
838,Orders,Registration Help,Community Hub,1,1,0,Not Requested
839,Apps,Registration Help,Community Hub,1,1,0,Not Requested
840,Apps,App Functionality,Mentor,1,0,0,Not Requested
841,Marketing,Accessing Data,Mentor,1,0,0,Not Requested
842,Finances,other,Mentor,0,1,0,Not Requested
843,Apps,Adding Promo Code,Help Link,0,1,1,Ben
844,Finances,Accessing Data,Help Link,0,0,0,Not Requested
845,Home,Registration Help,Community Hub,1,0,0,Not Requested
846,Apps,other,Community Hub,1,0,0,Not Requested
847,Marketing,Accessing Data,Mentor,1,0,0,Not Requested
848,Analytics,other,Mentor,1,0,0,Not Requested
849,Orders,Adding Promo Code,Mentor,1,1,1,Chantal
850,Apps,Accessing Data,Community Hub,1,1,1,Chantal
851,Orders,Registration Help,Help Link,1,0,0,Not Requested
852,Marketing,App Functionality,Community Hub,1,1,1,Yik
853,Marketing,Registration Help,Community Hub,1,0,0,Not Requested
854,Finances,Registration Help,Help Link,1,0,0,Not Requested
855,Orders,App Functionality,Community Hub,1,1,1,Ben
856,Finances,Registration Help,Help Link,1,0,0,Not Requested
857,Marketing,App Functionality,Mentor,0,1,1,Ben
858,Apps,Registration Help,Help Link,1,1,0,Not Requested
859,Marketing,Adding Promo Code,Mentor,0,0,0,Not Requested
860,Analytics,other,Community Hub,1,1,0,Not Requested
861,Home,Registration Help,Help Link,1,1,0,Not Requested
862,Apps,Accessing Data,Mentor,1,0,0,Not Requested
863,Finances,other,Mentor,1,0,0,Not Requested
864,Orders,Registration Help,Help Link,1,1,0,Not Requested
865,Analytics,other,Community Hub,1,0,0,Not Requested
866,Customers,Registration Help,Help Link,1,1,1,Maya
867,Home,App Functionality,Community Hub,1,0,0,Not Requested
868,Apps,Registration Help,Community Hub,1,0,0,Not Requested
869,Marketing,Registration Help,Community Hub,1,1,1,Ben
870,Home,other,Help Link,1,0,0,Not Requested
871,Home,Accessing Data,Community Hub,1,0,0,Not Requested
872,Apps,other,Help Link,0,1,1,Yik
873,Orders,Registration Help,Mentor,1,1,1,Maya
874,Discounts,Registration Help,Community Hub,0,0,0,Not Requested
875,Orders,Registration Help,Help Link,0,1,1,Fahd
876,Orders,Adding Promo Code,Community Hub,0,1,1,Shaneel
877,Orders,Registration Help,Community Hub,1,1,0,Not Requested
878,Marketing,Registration Help,Help Link,0,1,1,Fahd
879,Analytics,other,Help Link,1,1,0,Not Requested
880,Marketing,Registration Help,Community Hub,0,1,1,Fahd
881,Analytics,Registration Help,Mentor,1,0,0,Not Requested
882,Apps,Registration Help,Mentor,1,1,1,Maya
883,Apps,Registration Help,Mentor,1,1,0,Not Requested
884,Analytics,Accessing Data,Community Hub,1,1,0,Not Requested
885,Orders,App Functionality,Help Link,0,0,0,Not Requested
886,Customers,other,Mentor,1,0,0,Not Requested
887,Finances,Registration Help,Help Link,1,0,0,Not Requested
888,Apps,other,Community Hub,1,1,1,Chantal
889,Finances,Accessing Data,Help Link,1,0,0,Not Requested
890,Finances,Registration Help,Help Link,1,0,0,Not Requested
891,Apps,Accessing Data,Community Hub,1,0,0,Not Requested
892,Apps,Accessing Data,Community Hub,1,0,0,Not Requested
893,Products,App Functionality,Mentor,1,0,0,Not Requested
894,Apps,Registration Help,Mentor,0,0,0,Not Requested
895,Marketing,other,Community Hub,1,1,1,Maya
896,Apps,Accessing Data,Community Hub,0,0,0,Not Requested
897,Customers,other,Community Hub,0,1,1,Natanael
898,Marketing,Registration Help,Mentor,0,1,0,Not Requested
899,Orders,other,Community Hub,1,1,1,Maya
900,Apps,Accessing Data,Help Link,0,1,1,Fahd
901,Marketing,Registration Help,Mentor,1,1,1,Shaneel
902,Finances,Registration Help,Community Hub,0,0,0,Not Requested
903,Finances,Accessing Data,Help Link,1,1,1,Yik
904,Finances,Accessing Data,Community Hub,1,1,0,Not Requested
905,Apps,Adding Promo Code,Mentor,1,1,1,Fahd
906,Apps,Registration Help,Help Link,0,0,0,Not Requested
907,Apps,Accessing Data,Community Hub,1,0,0,Not Requested
908,Apps,other,Community Hub,1,0,0,Not Requested
909,Products,Registration Help,Help Link,1,0,0,Not Requested
910,Orders,Registration Help,Mentor,1,0,0,Not Requested
911,Orders,other,Mentor,1,0,0,Not Requested
912,Finances,other,Mentor,1,1,0,Not Requested
913,Analytics,Adding Promo Code,Mentor,1,0,0,Not Requested
914,Customers,Accessing Data,Mentor,0,1,1,Shaneel
915,Products,Registration Help,Community Hub,1,0,0,Not Requested
916,Orders,other,Community Hub,0,1,1,Chantal
917,Products,Adding Promo Code,Mentor,1,1,0,Not Requested
918,Apps,Registration Help,Mentor,1,1,1,Maya
919,Home,Accessing Data,Mentor,1,1,0,Not Requested
920,Products,Registration Help,Help Link,1,1,0,Not Requested
921,Marketing,Registration Help,Help Link,1,0,0,Not Requested
922,Apps,Adding Promo Code,Mentor,0,0,0,Not Requested
923,Products,Accessing Data,Community Hub,0,1,1,Natanael
924,Marketing,Registration Help,Mentor,0,0,0,Not Requested
925,Orders,Registration Help,Help Link,1,1,0,Not Requested
926,Analytics,Accessing Data,Mentor,1,0,0,Not Requested
927,Apps,Accessing Data,Help Link,0,0,0,Not Requested
928,Marketing,Adding Promo Code,Mentor,1,1,1,Fahd
929,Marketing,other,Mentor,1,1,0,Not Requested
930,Apps,other,Community Hub,1,1,1,Chantal
931,Orders,other,Mentor,1,1,1,Natanael
932,Apps,Registration Help,Help Link,0,0,0,Not Requested
933,Apps,Registration Help,Help Link,1,0,0,Not Requested
934,Orders,other,Community Hub,0,0,0,Not Requested
935,Apps,Registration Help,Community Hub,1,0,0,Not Requested
936,Apps,Accessing Data,Mentor,1,0,0,Not Requested
937,Orders,Registration Help,Community Hub,1,0,0,Not Requested
938,Customers,Registration Help,Community Hub,1,0,0,Not Requested
939,Apps,Adding Promo Code,Help Link,1,1,0,Not Requested
940,Marketing,App Functionality,Help Link,0,1,0,Not Requested
941,Finances,Accessing Data,Help Link,1,1,1,Shaneel
942,Analytics,Accessing Data,Help Link,0,1,0,Not Requested
943,Analytics,Accessing Data,Community Hub,1,0,0,Not Requested
944,Analytics,App Functionality,Community Hub,1,0,0,Not Requested
945,Home,other,Community Hub,1,1,0,Not Requested
946,Orders,Accessing Data,Help Link,1,1,0,Not Requested
947,Marketing,Accessing Data,Community Hub,1,0,0,Not Requested
948,Home,other,Help Link,0,0,0,Not Requested
949,Orders,Accessing Data,Community Hub,1,1,1,Shaneel
950,Apps,Adding Promo Code,Community Hub,1,0,0,Not Requested
951,Apps,Registration Help,Community Hub,0,0,0,Not Requested
952,Finances,Accessing Data,Community Hub,0,1,1,Chantal
953,Products,Accessing Data,Mentor,1,1,1,Shaneel
954,Orders,App Functionality,Help Link,0,0,0,Not Requested
955,Home,Adding Promo Code,Mentor,1,1,0,Not Requested
956,Orders,Registration Help,Mentor,0,0,0,Not Requested
957,Orders,App Functionality,Mentor,0,0,0,Not Requested
958,Marketing,Registration Help,Community Hub,0,1,0,Not Requested
959,Apps,Registration Help,Mentor,0,1,1,Maya
960,Marketing,Registration Help,Help Link,1,0,0,Not Requested
961,Finances,other,Community Hub,0,0,0,Not Requested
962,Orders,other,Community Hub,1,1,0,Not Requested
963,Discounts,Accessing Data,Help Link,1,1,0,Not Requested
964,Finances,Registration Help,Help Link,0,1,0,Not Requested
965,Orders,other,Mentor,0,1,1,Chantal
966,Orders,other,Community Hub,0,0,0,Not Requested
